acronym	name	where
IJWMN	International Journal of Wireless & Mobile Networks -- ERA, WJCI Indexed, H index 33	Online
ICISPP--EI	2024 5th International Conference on Information Security and Privacy Protection (ICISPP 2024)	Nanjing, China
ABB	The 5th Joint International Conference on AI, Big Data and Blockchain (ABB 2024)	Vienna
FICLOUD	The 11th International Conference on Future Internet of Things and Cloud	Vienna
BCCA	The Sixth International Conference on Blockchain Computing and Applications	Dubai, UAE
IEEEICCCBDA	IEEE--2024 the 9th International Conference on Cloud Computing and Big Data Analytics (ICCCBDA 2024)	Chengdu, China
ICINT	2024 9th International Conference on Information and Network Technologies (ICINT 2024)	Tokyo, Japan
CYBERMATICS	2024 IEEE Cybermatics Congress	Copenhagen, Denmark
CSP	IEEE--2024 8th International Conference on Cryptography, Security and Privacy (CSP 2024)	Osaka, Japan
SMARTDATA	10th IEEE International Conference on Smart Data	Copenhagen, Denmark
SPM	11th International Conference on Signal, Image Processing and Multimedia	London, United Kingdom
BIOENG	8th International Conference on Bioscience & Engineering	Virtual Conference
DMSE	5th International Conference on Data Mining and Software Engineering	London, United Kingdom
CLOUD	13th International Conference on Cloud Computing: Services and Architecture	Zurich, Switzerland
AIMLNET	4th International conference on AI, Machine Learning in Communications and Networks	London, United Kingdom
BIOT	5th International Conference on Block chain and Internet of Things	Zurich, Switzerland
BIOM	4th International Conference on Big Data, IoT and Machine Learning	Chennai, India
CE	8th International Conference on Civil Engineering	Copenhagen, Denmark
EDUIT	2nd International Conference on Education & Information Technology	Copenhagen, Denmark
DSCC	5th International Conference on Data Science and Cloud Computing	Dubai, UAE
CMLA	6th International Conference on Machine Learning & Applications	London, United Kingdom
IJDMS	International Journal of Database Management Systems - WJCI Indexed	Online
IJMA	International Journal of Multimedia & Its Applications -- ERA Indexed	Online
CYBI	11th International Conference on Cybernetics & Informatics	Melbourne, Australia
DKMP	12th Conference on Data Mining & Knowledge Management Process	Zurich, Switzerland
IPDCA	13th International conference on Parallel, Distributed Computing and Applications	Sydney, Australia
NLCAI	5th International Conference on Natural Language Computing and AI	Zurich, Switzerland
CAMSE	International Conference on Advances in Materials Science and Engineering	Virtual Conference
CSIT	11th International Conference on Computer Science and Information Technology	Sydney, Australia
IJCSEIT	International Journal of Computer Science, Engineering and Information Technology	Online
SESBC	5th International Conference on Software Engineering, Security and Blockchain	Dubai, UAE
